#timestamp imgname x y z qx qy qz qw
1783519152.157933 pano/1783519152.157933.jpg 3323335.320516 5580814.348056 169.703877 -0.586170 -0.460940 0.402087 0.531287
1783519153.157311 pano/1783519153.157311.jpg 3323335.764443 5580815.462016 169.521151 -0.639067 -0.348279 0.276339 0.627640
1783519154.056751 pano/1783519154.056751.jpg 3323336.368713 5580816.312077 169.387118 -0.653536 -0.338440 0.321465 0.595826
1783519154.656379 pano/1783519154.656379.jpg 3323336.733021 5580816.959159 169.343702 -0.632333 -0.391242 0.388595 0.544131
1783519155.955570 pano/1783519155.955570.jpg 3323337.228457 5580818.422547 169.492716 -0.550291 -0.477225 0.433102 0.530903
1783519157.254761 pano/1783519157.254761.jpg 3323337.584760 5580819.754815 169.731329 -0.588822 -0.372817 0.365113 0.617243
1783519157.754449 pano/1783519157.754449.jpg 3323337.845882 5580820.197508 169.819498 -0.639118 -0.315903 0.363405 0.599725
1783519159.453391 pano/1783519159.453391.jpg 3323339.139122 5580821.766025 169.827231 -0.662065 -0.371565 0.343281 0.552963
1783519160.552707 pano/1783519160.552707.jpg 3323339.979975 5580822.719913 169.773849 -0.644636 -0.367166 0.303673 0.597843
1783519161.352209 pano/1783519161.352209.jpg 3323340.485334 5580823.459643 169.824349 -0.647436 -0.379323 0.357936 0.555718
1783519162.551464 pano/1783519162.551464.jpg 3323341.281739 5580824.599400 169.963476 -0.632447 -0.351060 0.300706 0.621566
1783519164.250406 pano/1783519164.250406.jpg 3323341.148839 5580826.278182 169.951431 0.261136 0.634065 -0.628007 -0.367936
1783519164.750094 pano/1783519164.750094.jpg 3323340.795605 5580826.670023 169.948573 0.230364 0.705223 -0.610111 -0.278131
1783519166.548976 pano/1783519166.548976.jpg 3323339.237227 5580827.588477 169.933340 0.058132 0.746274 -0.660078 -0.063192
1783519167.248539 pano/1783519167.248539.jpg 3323338.407268 5580827.542151 169.879896 -0.011603 0.732983 -0.680071 0.010186
1783519167.748228 pano/1783519167.748228.jpg 3323337.869799 5580827.444450 169.880761 0.019322 0.716354 -0.697066 -0.023728
1783519169.547109 pano/1783519169.547109.jpg 3323335.943886 5580827.510424 169.796455 0.122160 0.722196 -0.669367 -0.124334
1783519170.946238 pano/1783519170.946238.jpg 3323334.454887 5580827.867759 169.804603 0.039633 0.724152 -0.687203 -0.042246
1783519172.245429 pano/1783519172.245429.jpg 3323332.971171 5580827.787509 169.721618 -0.030450 0.733055 -0.679446 0.007430
1783519172.745117 pano/1783519172.745117.jpg 3323332.447536 5580827.731982 169.713131 0.040711 0.707787 -0.704611 -0.030067
1783519174.144248 pano/1783519174.144248.jpg 3323331.022515 5580827.411149 169.536660 -0.106567 0.709524 -0.690306 0.093256
1783519175.543376 pano/1783519175.543376.jpg 3323329.551563 5580826.736892 169.558181 0.147486 -0.681097 0.708150 -0.113488
1783519176.942505 pano/1783519176.942505.jpg 3323328.008299 5580827.078176 169.484429 -0.291282 -0.658580 0.663410 0.203258
1783519178.341634 pano/1783519178.341634.jpg 3323327.903572 5580827.687686 169.529856 -0.583518 -0.449733 0.394901 0.548908
1783519179.940640 pano/1783519179.940640.jpg 3323328.463541 5580829.249297 169.444935 0.482256 0.587711 -0.479532 -0.438264
1783519181.439705 pano/1783519181.439705.jpg 3323328.461957 5580830.735291 169.183747 0.506952 0.556473 -0.529352 -0.391309
1783519183.038710 pano/1783519183.038710.jpg 3323328.273871 5580832.481387 169.177069 0.320268 0.673625 -0.635876 -0.198291
1783519184.237964 pano/1783519184.237964.jpg 3323328.068012 5580833.188977 169.315680 0.420511 0.622546 -0.573525 -0.326613
1783519185.437217 pano/1783519185.437217.jpg 3323327.554219 5580833.744194 169.356255 0.338815 0.661903 -0.612862 -0.267375
1783519187.435973 pano/1783519187.435973.jpg 3323326.225417 5580834.206174 169.509096 0.215432 0.715899 -0.647528 -0.147601
1783519188.135541 pano/1783519188.135541.jpg 3323325.483547 5580834.344432 169.549102 0.137687 0.722592 -0.668751 -0.108056
1783519189.534667 pano/1783519189.534667.jpg 3323324.397619 5580835.309747 169.714027 0.238385 0.658641 -0.652665 -0.288778
1783519191.433490 pano/1783519191.433490.jpg 3323323.035088 5580835.731273 169.813186 0.043401 -0.690579 0.720646 -0.043420
1783519193.432245 pano/1783519193.432245.jpg 3323323.821822 5580835.973457 169.677860 -0.499029 -0.537933 0.450360 0.508698
1783519194.331685 pano/1783519194.331685.jpg 3323324.633398 5580836.164734 169.497722 -0.664767 -0.305979 0.290662 0.616423
1783519195.131187 pano/1783519195.131187.jpg 3323325.112770 5580836.679600 169.430785 -0.693189 -0.282332 0.246150 0.615782
1783519195.830752 pano/1783519195.830752.jpg 3323325.389163 5580837.370934 169.396576 -0.631708 -0.332556 0.314828 0.625488
1783519197.429757 pano/1783519197.429757.jpg 3323325.737833 5580839.336938 169.357226 -0.643376 -0.254491 0.276784 0.666852
1783519198.828885 pano/1783519198.828885.jpg 3323326.613901 5580840.770710 169.446648 -0.695482 -0.169642 0.156614 0.680440
1783519200.327953 pano/1783519200.327953.jpg 3323328.162838 5580841.730777 169.545069 -0.752147 0.002982 0.012687 0.658867
1783519201.127454 pano/1783519201.127454.jpg 3323329.082537 5580841.943639 169.569567 -0.688009 -0.072408 0.098193 0.715373
1783519201.727081 pano/1783519201.727081.jpg 3323329.696833 5580842.184299 169.637960 -0.686754 -0.058776 0.038461 0.723488
1783519203.126211 pano/1783519203.126211.jpg 3323331.277675 5580843.065878 169.608745 -0.694967 -0.023877 -0.020329 0.718357
1783519204.425401 pano/1783519204.425401.jpg 3323332.723129 5580843.853326 169.660515 -0.677655 -0.067919 -0.007432 0.732199
1783519205.724593 pano/1783519205.724593.jpg 3323334.160120 5580844.066263 169.656426 -0.690868 0.051495 -0.094688 0.714901
1783519206.923873 pano/1783519206.923873.jpg 3323335.393191 5580844.463552 169.766958 -0.698829 0.013639 -0.033437 0.714377
1783519208.123100 pano/1783519208.123100.jpg 3323336.637120 5580844.737659 169.787541 -0.711487 0.030228 -0.063016 0.699215
1783519209.422294 pano/1783519209.422294.jpg 3323337.988553 5580844.804807 169.853519 -0.697356 0.130956 -0.122273 0.693970
1783519210.121856 pano/1783519210.121856.jpg 3323338.735715 5580844.636100 169.850776 -0.703030 0.080798 -0.081311 0.701861
1783519210.821421 pano/1783519210.821421.jpg 3323339.439364 5580844.530373 169.886146 -0.696871 0.058427 -0.065878 0.711770
1783519211.620924 pano/1783519211.620924.jpg 3323340.322651 5580844.599694 169.833063 -0.716741 -0.007964 0.030933 0.696608
